"list","item_1_condition","field_1_1","item_2_condition","field_2_1","item_3_condition","field_3_1","item_4_condition","field_4_1","item_5_condition","field_5_1"
119,"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1132-acceptability=0","If the adults hug the doctors, the lady will run around any art galleries.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=890-acceptability=0","The students ever say that the patient does help the waiters.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=275-acceptability=0","The pedestrians could ever say that the children could really arrive at the college campus.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1132-acceptability=0","If the adults hug the doctors, the lady will run around any art galleries."
120,"experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=1-paradigm=578-acceptability=0","A waitress who had bought some shoes cared for any boys.","experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=1-paradigm=578-acceptability=0","A waitress who had bought some shoes cared for any boys.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=890-acceptability=0","The students ever say that the patient does help the waiters.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=275-acceptability=0","The pedestrians could ever say that the children could really arrive at the college campus."
121,"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=169-acceptability=1","The drivers did not ever imagine that the actors could work with the people.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=793-acceptability=1","The ladies fortunately wonder whether the actors respected the art galleries.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=5264-acceptability=1","Those doctors have not imagined that any guests have practiced.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=0-paradigm=819-acceptability=1","A cashier who has hated some drivers should escape from those malls."
122,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=793-acceptability=1","The ladies fortunately wonder whether the actors respected the art galleries.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=5264-acceptability=1","Those doctors have not imagined that any guests have practiced.","experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=0-paradigm=819-acceptability=1","A cashier who has hated some drivers should escape from those malls.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=169-acceptability=1","The drivers did not ever imagine that the actors could work with the people."
123,"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=5264-acceptability=1","Those doctors have not imagined that any guests have practiced.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=169-acceptability=1","The drivers did not ever imagine that the actors could work with the people.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=793-acceptability=1","The ladies fortunately wonder whether the actors respected the art galleries.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=5264-acceptability=1","Those doctors have not imagined that any guests have practiced."
124,"experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=0-paradigm=819-acceptability=1","A cashier who has hated some drivers should escape from those malls.","experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=0-paradigm=819-acceptability=1","A cashier who has hated some drivers should escape from those malls.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=169-acceptability=1","The drivers did not ever imagine that the actors could work with the people.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=793-acceptability=1","The ladies fortunately wonder whether the actors respected the art galleries."
125,"experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=0-npi_present=1-paradigm=1003-acceptability=0","The customers who often praised pedestrians wore any pants.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1226-acceptability=0","While the adult visits any guys, the ladies will kiss the women.","experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=726-acceptability=0","A patient ever imagined that a man had sometimes driven to the cafe.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=1-npi_present=0-paradigm=1486-acceptability=1","Only the customers should care for those ladies."
126,"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1226-acceptability=0","While the adult visits any guys, the ladies will kiss the women.","experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=726-acceptability=0","A patient ever imagined that a man had sometimes driven to the cafe.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=1-npi_present=0-paradigm=1486-acceptability=1","Only the customers should care for those ladies.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=0-npi_present=1-paradigm=1003-acceptability=0","The customers who often praised pedestrians wore any pants."
127,"experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=726-acceptability=0","A patient ever imagined that a man had sometimes driven to the cafe.","experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=0-npi_present=1-paradigm=1003-acceptability=0","The customers who often praised pedestrians wore any pants.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1226-acceptability=0","While the adult visits any guys, the ladies will kiss the women.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=726-acceptability=0","A patient ever imagined that a man had sometimes driven to the cafe."
128,"experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=1-npi_present=0-paradigm=1486-acceptability=1","Only the customers should care for those ladies.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=1-npi_present=0-paradigm=1486-acceptability=1","Only the customers should care for those ladies.","experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=0-npi_present=1-paradigm=1003-acceptability=0","The customers who often praised pedestrians wore any pants.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1226-acceptability=0","While the adult visits any guys, the ladies will kiss the women."
129,"experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=1749-acceptability=0","A guy who often scanned any stories had gone to libraries.","experiment=NPI-env=adverbs-npi=ever-crucial_item=seldom-licensor=1-scope=1-npi_present=1-paradigm=93-acceptability=1","An adult seldom ever imagines that a doctor has broken the chairs.","experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=874-acceptability=0","Even a guest might ever tour the hospitals.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1159-acceptability=1","The guests wonder whether the senator was leaving these banks."
130,"experiment=NPI-env=adverbs-npi=ever-crucial_item=seldom-licensor=1-scope=1-npi_present=1-paradigm=93-acceptability=1","An adult seldom ever imagines that a doctor has broken the chairs.","experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=874-acceptability=0","Even a guest might ever tour the hospitals.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1159-acceptability=1","The guests wonder whether the senator was leaving these banks.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=1749-acceptability=0","A guy who often scanned any stories had gone to libraries."
131,"experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=874-acceptability=0","Even a guest might ever tour the hospitals.","experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=1749-acceptability=0","A guy who often scanned any stories had gone to libraries.","experiment=NPI-env=adverbs-npi=ever-crucial_item=seldom-licensor=1-scope=1-npi_present=1-paradigm=93-acceptability=1","An adult seldom ever imagines that a doctor has broken the chairs.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=874-acceptability=0","Even a guest might ever tour the hospitals."
132,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1159-acceptability=1","The guests wonder whether the senator was leaving these banks.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1159-acceptability=1","The guests wonder whether the senator was leaving these banks.","experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=1749-acceptability=0","A guy who often scanned any stories had gone to libraries.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=seldom-licensor=1-scope=1-npi_present=1-paradigm=93-acceptability=1","An adult seldom ever imagines that a doctor has broken the chairs."
